"NU_INSCRICAO","NU_IDADE","TP_SEXO","TP_ST_CONCLUSAO","TP_ANO_CONCLUIU","IN_TREINEIRO","IN_BAIXA_VISAO","IN_CEGUEIRA","IN_SURDEZ","IN_DEFICIENCIA_AUDITIVA","IN_SURDO_CEGUEIRA","IN_DEFICIENCIA_FISICA","IN_DEFICIENCIA_MENTAL","IN_DEFICIT_ATENCAO","IN_DISLEXIA","IN_DISCALCULIA","IN_AUTISMO","IN_VISAO_MONOCULAR","IN_OUTRA_DEF","TP_PRESENCA_CN","TP_PRESENCA_CH","TP_PRESENCA_LC","TP_PRESENCA_MT","NU_NOTA_CN","NU_NOTA_CH","NU_NOTA_LC","NU_NOTA_MT","TP_LINGUA","TP_STATUS_REDACAO","NU_NOTA_REDACAO","CO_ESCOLA"
180013975477,18,"F",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,522.7,542.2,612,574.9,1,1,600,24327301
180013090102,17,"M",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,601.5,651,579.8,635.4,0,1,580,43060080
180013960189,18,"F",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,486.5,506.1,482.1,555.8,1,1,640,53007425
180013942114,20,"F",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,432.2,424.8,477,455.7,1,1,280,43127010
180013820809,17,"F",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,483.7,450.3,423.1,567.4,0,1,280,51051907
180013967387,18,"M",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,448,467.4,417.1,442.4,0,1,260,35108959
180013651317,18,"F",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,504,620.4,578.1,425.3,1,1,600,35018417
180013957490,28,"F",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,493.2,566.1,455.2,563.9,0,1,300,33058180
180013957493,18,"M",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,473.1,575,454.2,466,1,1,360,51168804
180013969940,20,"F",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,418.3,439.3,441.4,469,1,1,340,53011520
180013820654,18,"M",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,376.7,444.9,359,490.4,1,1,280,11033070
180013977540,19,"F",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,422.7,455.4,404.7,395.4,1,1,260,52086062
180013936173,18,"F",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,594,526.3,427.5,434.7,1,1,560,28011082
180013970154,19,"M",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,555.5,596.1,564.3,644.7,0,1,780,43184790
180013976861,18,"F",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,420.6,573,513,462.9,1,1,480,43139213
180013937374,18,"M",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,446.1,600,589.1,520,0,1,520,35038581
180013751404,19,"M",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,411.2,521,482,408.6,1,1,220,32036582
180012388222,19,"M",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,407.9,499.2,455.7,582.9,1,6,0,32042647
180013978949,18,"F",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,434.6,552.1,446,384,0,1,520,41076648
180013969461,21,"F",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,430.5,501.9,476.7,459.1,1,1,380,33104379
180013820657,18,"F",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,421.6,424.1,477.9,442.4,1,1,240,51043017
180013967393,17,"F",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,399.1,443.8,426.9,423,1,1,340,31185400
180013969895,17,"M",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,416.6,455.1,413.6,459.1,0,1,320,35910910
180013983032,17,"F",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,483.9,561.3,546.6,640.5,0,1,600,35011137
180013969105,18,"M",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,441.6,591.1,480.1,442.6,0,1,480,29382017
180013074948,18,"M",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,406,469.9,404,481.8,0,4,0,26122960
180013819582,53,"F",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,480.8,444.3,532.7,381.6,1,1,500,33161305
180013450697,17,"M",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,512.3,625.5,536.5,563.3,0,1,540,35436012
180013842334,40,"M",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,516.1,481.2,437.7,610.5,0,1,280,53000234
180013759486,17,"M",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,573.4,592.3,507.1,530.1,1,1,340,31147788
180013972641,20,"F",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,420.9,502.8,465.9,414.8,0,4,0,26128420
180013938692,29,"F",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,466.3,598.5,452.8,429.5,1,1,400,43171133
